b000, b001, b002, b003, b004, b005, b006, b007, b008, b009, b010, b011, b012, 

-1.7016347461998576, -0.3195039237865904, -0.3927737662944368, 2.1372962332598737, 0.24280293176646986, 3.4966357860527877, 31.972249883708425, -1.0541953738174283, 10.0609453441471, 1.9071554165256708, -1.2153932757224808, 0.9370880083895938, 0.8668453542793075, 

-3.396445104583357, -2.3491704754415763, 1.1051831517468538, 0.3928618352337238, -1.192396051149172, 0.4013110946740986, 28.85281648856172, 0.34279269689556624, 8.45622010200652, 2.040226240868798, -2.946879723168771, -0.2345260328795261, 1.7877689893754984, 
-3.307166472234032, -2.1140911667618667, 1.169387439297219, 0.533929983125419, -1.1404156562078391, 0.6167640164911479, 29.046475180808446, 0.3345676879872681, 8.366442004053049, 1.779927094063695, -2.7395434595272095, -0.08828081754949471, 1.64828129557165, 
-2.9786082596752577, -2.001882179551903, 1.2326328282946124, 0.8296203907282939, -1.041767314759658, 0.770043557610374, 29.269151078368782, 0.3894858924723521, 8.227026966394197, 1.3420867886142014, -2.4493885556880883, 0.1320363924532307, 1.4917084348083174, 
-2.8025175522712664, -1.831020613398638, 1.234341979887694, 0.9934535968096028, -0.9053795774215525, 0.9993947775183661, 29.3990437587563, 0.347620045894309, 8.216551959396345, 1.091240748354889, -2.23253336900254, 0.25238138946967975, 1.2720832851976742, 
-2.4375157423778386, -1.8084939784730665, 1.2052969948328065, 1.3333619360748816, -0.7288220006625635, 1.1837713326899924, 29.604832123834093, 0.3451221475277796, 8.197430469775899, 0.7203096730083591, -1.9926341777191967, 0.3898230672197409, 1.01645878184659, 
-2.2357837961262415, -1.6879673793690246, 1.1378372868280737, 1.500913381654623, -0.543339989696492, 1.4266642995595746, 29.69350779313271, 0.25880046232497755, 8.257254283508523, 0.5210302522153639, -1.7956930112362848, 0.4742880147820201, 0.762677537487843, 
-1.8929931925715977, -1.7380200652490085, 1.0373028660033488, 1.8563466291095652, -0.33709477946117933, 1.6452604075703963, 29.917350955420638, 0.18590431148437817, 8.327924470932981, 0.2529536774492819, -1.6380952313055768, 0.5283000307302985, 0.4753209976619251, 
-1.7241424570469892, -1.6504533760093756, 0.921454801226231, 1.9856552513416903, -0.15098835743762112, 1.9138265728474189, 30.0311238457249, 0.03750823593709491, 8.4425679331816, 0.12601200613376984, -1.4953444209997226, 0.599192122832486, 0.2601735295415758, 
-1.4907729619533123, -1.7568626068941542, 0.7858210133072847, 2.2768618969235, 0.03162447364374455, 2.1697814637600823, 30.34302692563463, -0.12410787660249335, 8.591300213307298, -0.001997573774064511, -1.4770432536712486, 0.6032507010601889, 0.01880055973945656, 
-1.390289287787231, -1.6900401683808917, 0.6652139308047622, 2.3100317046404473, 0.18043060567116173, 2.4281994199338977, 30.5182954585801, -0.322769307288037, 8.755761844919288, -0.04171193784138064, -1.4040356719936185, 0.6607938873508403, -0.11503514623543654, 
-1.317157257267875, -1.8110191813990952, 0.5313270904930433, 2.433352992945645, 0.30756915337758933, 2.7001799608618264, 30.933697767022984, -0.5924053602711357, 8.985669879418134, -0.01067757388173302, -1.5340333414872933, 0.6464758587286128, -0.2757587124329352, 
-1.3164576971736588, -1.7698189249766496, 0.4268193984578062, 2.342435595289204, 0.4123727465257077, 2.940055907493436, 31.23617606940682, -0.8427077173155826, 9.219144892009158, 0.05583440183797659, -1.5610362082269313, 0.6959232729812755, -0.3384994084765956, 
-1.4277686621201884, -1.8659621475804458, 0.3441754679373835, 2.2610177157472418, 0.476787671740746, 3.2041532346863852, 31.7341685278951, -1.1879736908655152, 9.516153613521427, 0.2607746507431693, -1.818255995631136, 0.6679714390313485, -0.43209782558578197, 
-1.5375676984901856, -1.8068636023070952, 0.27469670623998366, 2.0127313439238037, 0.5422217551590435, 3.3942542133997935, 32.07373472644825, -1.4301848374162829, 9.78819126041131, 0.4288109014477407, -1.9017353575512022, 0.735385313715395, -0.4146781388879363, 
-1.8473126910026625, -1.8584112406266735, 0.2537040501503426, 1.7392486821489668, 0.5452710378696227, 3.622743451871822, 32.55551650309878, -1.797945428444737, 10.087280021484405, 0.8063417889283726, -2.2616750393638148, 0.7133498273273334, -0.4484834566938778, 
-2.0566766623619888, -1.8017892698412543, 0.22337028065731915, 1.4010949689173728, 0.5791945465273758, 3.740419333182991, 32.825029534450046, -1.9864150164217595, 10.331038295953416, 1.0657807767228673, -2.4024728651645635, 0.7758273999670598, -0.38589230238258526, 
-2.5055311636631044, -1.7872911201751216, 0.2720282263638461, 1.025851240952257, 0.5265901312973478, 3.908718354274982, 33.11375161088353, -2.312737104397513, 10.5294848516463, 1.5495505609203295, -2.801205640358268, 0.7571840539676071, -0.3778139000314781, 
-2.714864886270774, -1.7305179330045313, 0.26657200891938, 0.7223142941589112, 0.5547398115227612, 3.9461378200043096, 33.18958642402155, -2.379832718264682, 10.66054947456786, 1.8054721946716208, -2.915910680653228, 0.8038195234209887, -0.29176816551958035, 
-3.1974823405474706, -1.6827242862082505, 0.37806736878255487, 0.3776728502932227, 0.4526131120535497, 4.034880181605654, 33.20921368679363, -2.6312906283655844, 10.691117144115566, 2.3186924426148496, -3.298434911701407, 0.7488980656497348, -0.271038059145495, 
-3.384823967904674, -1.6366144394854598, 0.42061702591257977, 0.19090526975240482, 0.4569147283467233, 4.015869305794734, 33.0908399815416, -2.6187109663442074, 10.674415905967344, 2.5698005957992582, -3.4008773721908225, 0.7254869516966932, -0.20831103387580494, 
-3.7769622755543537, -1.499731783817677, 0.5912065211785442, -0.024029758666422277, 0.32733552995085563, 4.05935002257937, 32.86306759839545, -2.7518079799701427, 10.52408694425309, 2.980159293416109, -3.6303198211722902, 0.6594541608586365, -0.1884462297045621, 
-3.864954267176926, -1.4004423412604294, 0.6646620161398512, -0.024638562922066218, 0.32327263269713674, 4.035514999657528, 32.587618598377446, -2.6401690924573984, 10.350762503072561, 3.1131291028798405, -3.62137386722307, 0.6143847296452193, -0.15001698125148036, 
-4.064117664844433, -1.149659646302534, 0.8864707793121348, 0.006500972192528985, 0.1810471221839426, 4.078672473827088, 32.20913889455602, -2.637224531483094, 10.042079340005126, 3.312322042140168, -3.635331185132302, 0.5362699443303974, -0.1586670062568165, 
-3.9533770336814364, -0.9815221643331404, 0.9572209907491445, 0.25966939540617523, 0.2154460841767454, 4.08651163170654, 31.891856254898755, -2.394138708087812, 9.77456545892409, 3.218249379877411, -3.449666118609041, 0.48092661971301903, -0.1670224833368925, 
-3.9500936574800862, -0.5685978756060954, 1.1979891504571576, 0.5687050728750973, 0.07064888903545324, 4.199934085690803, 31.493643882775448, -2.281276841959787, 9.355394646663871, 3.1700075240802637, -3.2248309556011296, 0.44007392381367977, -0.2095461637831629, 
-3.6924365275651723, -0.2732619862228936, 1.2783882458503093, 1.046122825168166, 0.1205098197433891, 4.290956029138639, 31.21219314932431, -1.9726941956005577, 9.024251041402449, 2.88501080974507, -2.88439500126577, 0.4008760916717395, -0.27126032168427494, 
-3.4887926138679535, 0.23684992612768194, 1.475559644834261, 1.5651733346400176, 0.015643456052600802, 4.464901832312241, 30.895980993096927, -1.7599006780938304, 8.611663677669522, 2.6097195173692285, -2.4699286481771594, 0.4115912144938087, -0.3287886994095666, 
-3.1346495503742884, 0.606824354101782, 1.537001968424609, 2.1466779591855105, 0.08452365524413175, 4.598848010189935, 30.71757385351405, -1.4201960084310667, 8.3184348426004, 2.1942765703947913, -2.052536008699601, 0.39687248873158126, -0.41265758933289204, 
-2.8003349897356395, 1.1456942052492978, 1.6901037086306865, 2.716881954112414, 0.006158125246714753, 4.7460135405767145, 30.574178147749823, -1.1601800683620689, 8.050975213525232, 1.7894481644155453, -1.5695511933212305, 0.41863830075423314, -0.4755627683688481, 
-2.400423130097435, 1.430158437542879, 1.7118670226224526, 3.2106481702399114, 0.11338252987694948, 4.762640119615885, 30.59685449258468, -0.7990401526415319, 7.965697553880906, 1.337051130706079, -1.219964970158428, 0.3593972530368119, -0.5710409339338498, 
-2.030487719884673, 1.8204341138854936, 1.80232089200249, 3.603145740726262, 0.06372236146568917, 4.709712952461785, 30.754662591868083, -0.5089193817716472, 8.033850627933699, 0.9394272926154953, -0.8402003723784808, 0.32322991151646974, -0.6228197243826806, 
-1.6811934293921484, 1.9499619045246246, 1.8166357161443878, 3.8085285198531342, 0.12997298140705552, 4.487195312981402, 31.042494666900577, -0.19384435985621162, 8.275679881993636, 0.5761654176483862, -0.648685545536415, 0.20218815355686406, -0.6917647947935406, 
-1.3621341599401071, 2.081159146027352, 1.8518485159204614, 3.835928851194142, 0.08730571913970231, 4.137334251867454, 31.537833159589088, 0.07468992560193627, 8.775555860031814, 0.298800351626611, -0.4861337029895726, 0.07455104659536016, -0.7198841232169684, 
-1.0874989705576528, 1.978863975265836, 1.856090075725348, 3.6761953169447246, 0.14254297939899627, 3.6717128595313477, 32.07454756080204, 0.3071671529612871, 9.346433548172858, 0.058333933121002865, -0.5073579976864591, -0.1254789646179629, -0.7705649208890186, 
-0.8131867494586088, 1.856093657376308, 1.8405255356985208, 3.373231175935791, 0.11576953007904785, 3.0815961540161485, 32.82811442278663, 0.5330475179058562, 10.201811625289, -0.09001966488193709, -0.5379650135775286, -0.3395080589236439, -0.7788802957897203, 
-0.6092189125509677, 1.6022432498717674, 1.8289366579720228, 2.956739092826494, 0.15159691926549163, 2.5089642714848654, 33.48938468089943, 0.6490233531328812, 10.950474539351973, -0.21176285146445048, -0.6887695310893653, -0.5577301479491603, -0.8033830218989442, 
-0.4384084195966907, 1.3395526436364853, 1.748380617439773, 2.477538194371529, 0.14358173454244072, 1.9034356373139472, 34.25492948474076, 0.7626731768463945, 11.85880739541468, -0.21570561545399047, -0.8359064177718101, -0.7608607704690594, -0.7938144082355385, 
-0.3436659496069877, 1.0478887177942429, 1.6857534043963887, 2.008522947163527, 0.16506949521491157, 1.4354339677616015, 34.747006513999054, 0.7249388502717405, 12.449182518108872, -0.2315849957459646, -1.025269051009068, -0.8930156246746354, -0.7781853464673377, 
-0.32370881103548677, 0.7524631798005851, 1.5086078479062695, 1.5620926603878154, 0.19050475369201195, 0.9984693622456455, 35.251691960809, 0.7284235702485654, 13.079277545340325, -0.11807388630713916, -1.2305923571577742, -0.9829110410979457, -0.7339029835705349, 
-0.35883201235261064, 0.4774171928247417, 1.343335561190427, 1.1991343077854033, 0.20625338689242073, 0.7208584233255553, 35.427784657272575, 0.5876386433550187, 13.331674064596513, -0.04242827289189425, -1.419290130076542, -0.9648562370543764, -0.6524098415749316, 
-0.5060241337186742, 0.2055587840703422, 1.037289977538291, 0.914949942013646, 0.2666985144403973, 0.5202454530231926, 35.58161703230316, 0.5407295862397931, 13.557955820408607, 0.1681311472045146, -1.6500923878915439, -0.8870583989142834, -0.55289775463431, 
-0.671947792516599, -0.02294092640136278, 0.7846831148964677, 0.723873385540343, 0.2807424035758368, 0.4558370085879222, 35.4513439451894, 0.3581038812839219, 13.448732307269516, 0.29639376331921236, -1.8357002728607048, -0.720311359635748, -0.41124769963886604, 
-0.948781443141492, -0.22660386988134817, 0.4335814354861473, 0.6453537056537092, 0.36192990041343986, 0.47756994686870863, 35.270346198903134, 0.3177620339695731, 13.285275506871173, 0.5533537102866469, -2.059961772809758, -0.52826421528287, -0.2870797494513277, 
-1.175000665485971, -0.3960569596584347, 0.18748572372279396, 0.5967547368787368, 0.36129573222010075, 0.5702013446703997, 34.94830942003047, 0.12523952552482406, 12.942289501155116, 0.6960409982243643, -2.21387955874697, -0.3033985097116282, -0.13032584118943433, 
-1.49184034220743, -0.5094052640395468, -0.12528477869101437, 0.6657065076155079, 0.45878284562843596, 0.7569538734970377, 34.62073022176744, 0.11844395966207456, 12.583437999694079, 0.9681126576954726, -2.3883468436333146, -0.0914010588969449, -0.03081605887172923, 
-1.682048136791655, -0.6092793871113044, -0.2786935305280115, 0.6887914173313302, 0.4362560855262478, 0.9313521731772212, 34.27164758102371, -0.07871353970476438, 12.202550478835452, 1.0994277631382086, -2.4668428004714316, 0.08252684736289208, 0.08218112768179128, 
-1.9329746285665341, -0.6157835909777561, -0.4734846134667038, 0.8331567893113888, 0.5438909986698923, 1.2192467082132212, 33.98278698508436, -0.06680951420593115, 11.835357335237797, 1.3448857715165066, -2.5365202860451923, 0.23847978017607016, 0.10895283275574495, 
-2.0161450104299856, -0.6464610583874825, -0.5121981156357995, 0.874704388097004, 0.4938265589503656, 1.41892386944676, 33.73341650293742, -0.2852318564508837, 11.556732134513778, 1.4414037139119236, -2.5046245469555886, 0.3174638462429571, 0.15839959037786516, 
-2.111184075379999, -0.5574925806351828, -0.5788560545741124, 1.0499220250922476, 0.5707703243327652, 1.736648941336579, 33.56179201582342, -0.30834726916349325, 11.276561028602707, 1.5973442574094956, -2.4141109041674125, 0.40708713012128767, 0.13456817054244977, 
-2.0481121082130707, -0.5082923338157722, -0.5405094508717458, 1.1389040411587539, 0.518336228309701, 1.9543751111472503, 33.45214341776925, -0.5159855812691599, 11.120248700617383, 1.6390777231945912, -2.234568517191217, 0.41093808137486837, 0.1290971838748422, 
-1.968689306447305, -0.30566164078551544, -0.5550739815521518, 1.3705726284590685, 0.603453465831836, 2.3334694055168295, 33.38091460640195, -0.545823475303636, 10.921894599050365, 1.6983448673349857, -1.956124054495301, 0.5082226537085096, 0.09388521652050921, 
-1.7682808380368515, -0.22886404217035614, -0.4889552297297576, 1.4587501174426274, 0.5138478237418961, 2.5359892312492933, 33.334450244488195, -0.810743732760659, 10.882574514909335, 1.6737686481917224, -1.668194540123819, 0.4815264435078641, 0.10719647388894385, 
-1.5468000139570761, 0.005156925742957633, -0.4952819275356674, 1.705399286883783, 0.5915062059652754, 2.903090319781484, 33.289668681100835, -0.8641856248718548, 10.74395710846185, 1.6450366185768648, -1.279349342447443, 0.6024047642308984, 0.11127816170544633, 
-1.2905074897783668, 0.11506274415074061, -0.4756638109958186, 1.8473492636946618, 0.5509320856941153, 3.143288648690556, 33.226936024593336, -1.0787425303003138, 10.721410988641265, 1.6025771299272304, -0.9492287066280276, 0.6181277423138605, 0.15216153934777932, 
-1.0451561357975598, 0.36374266821039497, -0.543774832142215, 2.096380480538729, 0.691768076196374, 3.526001925991229, 33.143715541073306, -1.086191130203546, 10.566256549154893, 1.541674047126287, -0.5609121484342454, 0.8392904865533738, 0.2017800954736064, 
-0.814034486865867, 0.4248419556925884, -0.5915573849524784, 2.219102811704053, 0.6669867536853935, 3.7719649288634254, 33.00909475650517, -1.3155866660701745, 10.569697270764806, 1.5257407348221284, -0.3062134305374915, 0.8736766318562933, 0.2900712239893859, 
-0.6107552559259671, 0.6153419198726923, -0.7198676863268526, 2.4025060236335225, 0.82498246724039, 4.118470457873632, 32.83743406412177, -1.3398363664652118, 10.421342226173905, 1.4846909969962574, -0.013550565811643102, 1.1348774064294467, 0.3850928131927723, 
-0.44806822033058796, 0.6707072492211337, -0.8375946628928408, 2.506714208199807, 0.8894098465280434, 4.4005244667236, 32.61977362304459, -1.5089968849436757, 10.369716309370855, 1.4976937649156776, 0.1446887571674927, 1.2502173408842736, 0.48994821649204495, 
