b000, b001, b002, b003, b004, b005, b006, b007, b008, b009, b010, b011, b012, b013, b014, b015, 

-29.470757487789673, -0.5081385688276306, 0.9456098234946502, 0.05942937310776599, 0.29518870729687074, 2.166191982625022, 1.8943303031956997, -7.565966308005492, -1.1452472383671728, 24.178622361457872, -0.5373877562036907, 1.586073527227456, -1.5608381111667198, -1.8605706983877341, 2.7520276270172404, -0.030614734734922686, 

-27.81004515990573, -0.08097464678642681, -0.3541459948271923, 0.8807258203181466, -0.65068711907425, 1.6015676320107473, -0.7018934444565581, -6.958749020980775, 2.703973009999791, 21.889642333096955, 1.2950700357393092, 2.1356706015050815, -3.201075653392352, -4.954356478402374, 1.8580072709237947, -1.1314574564685302, 
-27.7177317432522, -0.05833989179229927, -1.2523161867134336, 1.0712923045042575, -1.1785520871685784, 1.7261781455396863, 0.12210863781255289, -7.515661943888042, 1.530162404674516, 22.769995271837427, 2.0170343262181203, 2.6403937001649433, -4.327774932781773, -5.166929566286399, 2.4860964916520296, -0.4737145221019835, 
-27.943661484655333, 0.13701234487520272, -2.3003669541729646, 1.0842310221315152, -1.8759509988507672, 2.0962416968552966, 0.6942299643828005, -8.240838866147062, 0.19463307319711612, 23.715162693760874, 2.9652518178311036, 3.3304570364869948, -5.2611464124608585, -5.139431898377084, 3.0047893559570014, -0.382006088987795, 
-28.385555029731176, 0.16909425534384748, -2.857345182471678, 1.2184997906025616, -2.2446297230536296, 2.4047404252411773, 1.0487777106225922, -8.831515943981426, -0.6785139929700582, 24.43976633960744, 3.217154422833885, 3.466481777021807, -5.7413765078750245, -4.859018099850018, 3.33585928257506, -0.1581253035922436, 
-29.156858436076764, 0.32077794167959833, -3.535983081169598, 1.1966234707723955, -2.7075983022474337, 2.9925872904400537, 1.1642462344056559, -9.624747604919945, -1.6599167280163836, 25.21462285531743, 3.6283491260010896, 3.8134043531602204, -5.982113616542068, -4.400981965220831, 3.6659314052452685, -0.35093584888389, 
-29.712411138715286, 0.4219317672063213, -3.7251435848695054, 1.179830009506273, -2.884665979337793, 3.3624945535165525, 1.1821516318991145, -10.186141136336571, -2.2248586749998376, 25.759064820172036, 3.4219963294999185, 3.695983546708834, -5.9162282424483426, -3.7834824079076723, 3.8983131232974295, -0.2873642448509105, 
-30.580959175124033, 0.6144490875282861, -4.076708579467113, 1.0377780225191082, -3.142802746879194, 3.9636883089240023, 1.0374543942690848, -10.941428091527106, -2.946824797764521, 26.385579059117127, 3.412476232395121, 3.9278744879397696, -5.636717760351598, -3.0785237328701602, 4.227481762055801, -0.5307938190128191, 
-30.920539799586113, 0.8663413469046148, -4.041611590025914, 0.8393943740288443, -3.1899590378726335, 4.26025996841974, 0.9101679813294249, -11.402411643732579, -3.4154818358603927, 26.82962349086225, 2.9773290440562468, 3.888914462756676, -5.2069565438815, -2.3100280666961837, 4.55008824442279, -0.5362720102680836, 
-31.62077840402617, 1.099311001942856, -4.111132661637185, 0.6669947080388479, -3.2288434343526644, 4.683395521371994, 0.6610215071650617, -11.949991360835119, -3.9844941826936653, 27.257652381876, 2.70877622286668, 4.255782418016058, -4.518609767085404, -1.5987761272640613, 4.965249332882855, -0.7554734491011941, 
