iteration,time_ps,negative_q_branch_count,negative_qpoint_count,branch_1_count,branch_2_count,branch_3_count,path_integral_negative_indicator,path_integrated_negative_fraction,path_integral_absolute_imaginary_frequency_THz
78,0.0780000016,20,20,20,0,0,0.5900227276,0.0189489654,0.8166509333
79,0.0790000036,18,18,18,0,0,0.5310204548,0.0170540689,0.6538180152
80,0.0799999982,16,16,16,0,0,0.4720181821,0.0151591723,0.5606642079
81,0.0810000002,14,14,14,0,0,0.4130159093,0.0132642758,0.3561373945
82,0.0820000023,12,12,12,0,0,0.3540136365,0.0113693792,0.2682633800
83,0.0829999968,8,8,8,0,0,0.2360090910,0.0075795862,0.1085772072
84,0.0839999989,6,6,6,0,0,0.1770068183,0.0056846896,0.0605460835
85,0.0850000009,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
86,0.0860000029,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
87,0.0869999975,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
88,0.0879999995,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
89,0.0890000015,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
90,0.0900000036,5,5,5,0,0,0.1475056819,0.0047372414,0.0487003973
91,0.0909999982,4,4,4,0,0,0.1180045455,0.0037897931,0.0312983292
92,0.0920000002,8,8,8,0,0,0.2360090910,0.0075795862,0.1238848258
93,0.0930000022,7,7,7,0,0,0.2065079546,0.0066321379,0.1002187463
94,0.0939999968,11,11,11,0,0,0.3245125002,0.0104219310,0.2249575814
95,0.0949999988,9,9,9,0,0,0.2655102274,0.0085270344,0.1822259014
96,0.0960000008,12,12,12,0,0,0.3540136365,0.0113693792,0.2671579306
97,0.0970000029,11,11,11,0,0,0.3245125002,0.0104219310,0.2190421665
98,0.0979999974,12,12,12,0,0,0.3540136365,0.0113693792,0.3069109744
99,0.0989999995,12,12,12,0,0,0.3540136365,0.0113693792,0.2701101827
100,0.1000000015,13,13,13,0,0,0.3835147729,0.0123168275,0.3180771749
101,0.1010000035,10,10,10,0,0,0.2950113638,0.0094744827,0.1966817449
102,0.1019999981,11,11,11,0,0,0.3245125002,0.0104219310,0.2062694577
103,0.1030000001,5,5,5,0,0,0.1475056819,0.0047372414,0.0445492286
104,0.1040000021,3,3,3,0,0,0.0885034091,0.0028423448,0.0156862873
105,0.1049999967,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
106,0.1059999987,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
107,0.1070000008,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
108,0.1080000028,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
109,0.1089999974,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
110,0.1099999994,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
111,0.1110000014,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
112,0.1120000035,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
113,0.1129999980,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
114,0.1140000001,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
115,0.1150000021,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
116,0.1159999967,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
117,0.1169999987,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
118,0.1180000007,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
119,0.1190000027,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
120,0.1199999973,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
121,0.1209999993,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
122,0.1220000014,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
123,0.1230000034,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
