q_index,x_path,negative_frame_count,negative_frame_fraction,mean_negative_frequency_THz,minimum_frequency_THz
273,9.4036077853,22,0.0551378446,-2.4318536992,-3.0319958681
274,9.4397391507,19,0.0476190476,-2.1173565378,-2.5666796531
275,9.4758705162,16,0.0401002506,-1.5603948718,-1.9252922996
276,9.5120018817,6,0.0150375940,-0.5736812233,-0.8000390496
277,9.5481332472,0,0.0000000000,nan,1.6282414658
278,9.5842646127,0,0.0000000000,nan,1.7031816442
279,9.6203959781,0,0.0000000000,nan,1.7507288255
280,9.6565273436,0,0.0000000000,nan,1.8100433485
281,9.6926587091,0,0.0000000000,nan,1.8783348677
282,9.7287900746,0,0.0000000000,nan,1.9530095628
283,9.7649214401,0,0.0000000000,nan,2.0317591998
284,9.8010528055,0,0.0000000000,nan,2.1125899048
285,9.8371841710,0,0.0000000000,nan,2.1938133321
286,9.8733155365,0,0.0000000000,nan,2.2740184581
287,9.9094469020,0,0.0000000000,nan,2.3520360584
288,9.9455782675,0,0.0000000000,nan,2.4269027440
289,9.9817096329,0,0.0000000000,nan,2.4978279216
290,10.0178409984,0,0.0000000000,nan,2.5641649572
291,10.0539723639,0,0.0000000000,nan,2.6253867230
292,10.0901037294,0,0.0000000000,nan,2.6810651958
293,10.1262350949,0,0.0000000000,nan,2.7308545971
294,10.1623664603,0,0.0000000000,nan,2.7744775467
295,10.1984978258,0,0.0000000000,nan,2.8117137579
296,10.2346291913,0,0.0000000000,nan,2.8423908822
297,10.2707605568,0,0.0000000000,nan,2.8663771941
298,10.3068919222,0,0.0000000000,nan,2.8835758783
299,10.3430232877,0,0.0000000000,nan,2.8939207455
300,10.3791546532,0,0.0000000000,nan,2.8973732527
