b000, b001, b002, b003, b004, b005, b006, b007, b008, b009, b010, b011, b012, b013, b014, b015, b016, b017, b018, b019, b020, b021, 

-1.5017960285664278, -0.45503377833877706, 1.2539859330367773, 0.7263713761378339, -8.374502291573085, 28.436589587948454, -20.324203957674996, 6.911730352971662, -7.687925165762379, 1.244815147542125, 10.880329014219418, 4.633631707293363, -4.472624407669908, 0.9525006658304999, -14.157169608269978, 14.746905964421167, -7.974179786845423, -1.2411893408815753, -19.09710185158864, -1.5900013670475748, 3.269808084454219, -7.844838340435004, 

-3.816448839090896, -0.6429373257374401, -2.2836864218905384, -6.2255525103937766, -10.316962059996115, 25.99581820135966, -19.27355791416959, 9.016019882594671, -3.2842427289636653, 3.9175293354001237, 11.64061777049686, 5.364837578011046, -8.056907824299287, 0.05716194414695563, -14.22895450412025, 13.022442099918255, -4.547093676925875, 5.176764563498546, -11.633794178838055, 0.3131471672160515, 1.5920065300696928, -8.537824448415527, 
-4.12088480577182, -0.3488700072929819, -2.7148183367460423, -6.083902519134657, -10.016776422249642, 25.2847989658945, -18.798929397147372, 8.943150677154968, -3.432606696763206, 3.7443934615338517, 11.488581697295132, 4.891271622373539, -8.224691474880824, 0.6761360613984801, -14.477371102007584, 12.792874844163867, -4.785130166787278, 5.1954506823465225, -11.176854690472705, 0.4012012615455518, 1.7271789729929348, -8.208386501829981, 
-4.488023711100789, 0.05658662738884418, -3.31414061734589, -5.807818180277541, -9.74119246361315, 24.455383197825387, -18.33332399536572, 8.557623345504554, -3.3704761604769633, 3.420526158765999, 11.267089533399691, 4.557046696805146, -8.479444553197602, 1.3888490641035878, -14.527548746017613, 12.571253493811565, -4.969176280840773, 5.053301886517743, -11.137237289413797, 0.6681722925383066, 2.059310948037368, -7.886998040413552, 
-4.75296474981249, 0.4616734148962344, -3.5074712295674813, -5.565775243599788, -9.408342418528264, 23.816250191818256, -18.088594817709634, 8.421548331444686, -3.404913839674806, 3.438800672049325, 10.990157398012963, 4.128505197353113, -8.575958836381242, 2.001259191148037, -14.686632212579863, 12.401885059898937, -5.148513864140564, 5.029286025803901, -10.885986943317972, 0.7572476572646307, 2.1802041184163135, -7.505059760006365, 
-4.9428448877968245, 0.9137486409453015, -3.6505598583684975, -5.287738171153884, -9.150596668626612, 23.16120320459205, -18.011881777241562, 8.089759511934977, -3.2735013020396955, 3.430017394814448, 10.656971967547712, 3.916683569785318, -8.674725543728053, 2.704676047446544, -14.718413149982327, 12.447860969011641, -5.140394912988054, 4.974554503244427, -11.14175914483753, 0.9717135634138805, 2.3945187581336107, -7.149788122797304, 
-5.118037044120965, 1.3255294085551068, -3.4438641336040283, -4.997485969790002, -8.838880464217349, 22.758119625173286, -18.061610120843195, 8.00076577440561, -3.2545954132699215, 3.764043520883371, 10.302016635744515, 3.608426775956541, -8.648192797224572, 3.220694877075234, -14.863710741903672, 12.372655894052388, -5.234591236973638, 4.937488991000077, -11.049338547447592, 0.9329232156347356, 2.4216664711453113, -6.7703653553895435, 
-5.162528512055186, 1.677906154077763, -3.1257723414223766, -4.8053061704457605, -8.684801715227698, 22.38600784182798, -18.33742400707931, 7.827829766021114, -3.1202930545593186, 4.0077325601029665, 9.948417466011477, 3.6316071203657216, -8.609131096871458, 3.8266869982241682, -14.969908992616377, 12.720941628363844, -4.990368836316314, 4.984184652341722, -11.574237780983383, 0.9780851147869005, 2.484245203435065, -6.4983308013970555, 
-5.256773036331233, 1.9695909613093856, -2.6520479435336, -4.568529426538292, -8.478733271084947, 22.22211925224541, -18.611524014055707, 7.813150103503243, -3.0455588127350617, 4.3998508676524795, 9.617714502014937, 3.586237409004523, -8.517053594340037, 4.234658188481137, -15.124492700793608, 12.853202102866087, -4.852148734490026, 4.961031163782933, -11.808961216155357, 0.834364879193914, 2.4378901212154136, -6.2520980034554094, 
-5.16075595389753, 2.1564784580154766, -1.9617981151858315, -4.518162196922309, -8.4172921715821, 22.10991634856333, -19.080281565423604, 7.840225205275414, -2.9683717848025677, 4.708139635887832, 9.29720698100979, 3.8265111976659414, -8.36037465746767, 4.717033678028063, -15.377254458703721, 13.458192086310225, -4.307354182729136, 5.152228647148893, -12.56590202889566, 0.722125307888823, 2.3424768890590713, -6.10987235211119, 
-5.214381973953311, 2.2794843603940422, -1.2906399668002193, -4.330405121477166, -8.235046145337295, 22.196475752665613, -19.391289385532453, 7.942999579248119, -2.9163879473320713, 5.035951181591991, 8.983584780535722, 3.9069740355926985, -8.218266191034697, 4.959938796005072, -15.65389653468888, 13.620025572768835, -3.9941520602104954, 5.135062099611338, -12.912653038627015, 0.4240594660668005, 2.2029378343793815, -5.994021746302273, 
-5.124008686548979, 2.226593033822072, -0.49925748448847457, -4.331170772143563, -8.180744200660682, 22.38934073822259, -19.80841168395856, 8.14365364869484, -2.921449813624867, 5.200252690720686, 8.730440591365715, 4.150335459044954, -7.998221886754479, 5.1551427134828955, -16.079942392117196, 14.143373296509541, -3.360346099698833, 5.318803823717487, -13.54762551775429, 0.11312603129838998, 1.9862152875639798, -6.039512764935207, 
-5.124168025225416, 2.1199869166387857, 0.16823798267107704, -4.227499370011333, -8.030414249883338, 22.722359079029378, -20.051534126404004, 8.337234639513465, -2.924929414010423, 5.257343479652096, 8.489366590948103, 4.2597682011479545, -7.825576548322535, 5.153736644085656, -16.482432843587805, 14.336295556557582, -2.9159088264059414, 5.34014956331196, -13.922039030926312, -0.2748242219000984, 1.748188507800752, -6.084851642692965, 
-4.927778858553801, 1.8546355606355918, 0.8851043753251726, -4.298099488171226, -7.993315352015912, 23.169151044761172, -20.36703677284168, 8.635464657472411, -3.088237794869473, 5.113520985035975, 8.318913988081793, 4.453877105822486, -7.549764731902022, 5.066514003708368, -17.009622728658808, 14.885144739110885, -2.202977238034242, 5.619640515296866, -14.469392524387581, -0.6205860860846802, 1.365183721356739, -6.245603687725543, 
-5.0615857771926285, 1.7668137339455432, 1.227349276739547, -3.9335165252958535, -7.6584339751390536, 23.735674925730077, -20.328404641460207, 8.717574283726739, -3.073271851581781, 4.93069881483465, 8.078238401443912, 4.3289536937112825, -7.462965227413836, 4.692521147715673, -17.312586621049647, 14.522394334564439, -2.184575392314783, 5.315212032404342, -14.49497595675889, -1.005242101260263, 1.176130832815118, -6.227645360350967, 
-4.836404897269448, 1.5083230166913706, 1.6607109922014427, -3.840464261735008, -7.5592895994792535, 24.34470159821704, -20.470425242456756, 8.950362638180934, -3.351939407875004, 4.523929711183268, 7.968489223046506, 4.360555659286207, -7.202536902473743, 4.31067946755586, -17.746211759446464, 14.809534401483237, -1.8135500254220558, 5.4460859761756035, -14.770629686265709, -1.2660490366394006, 0.7679759693427534, -6.329316190363466, 
-4.76763984669816, 1.4260664049550345, 1.8655462056031547, -3.4927011215919395, -7.331358534881668, 25.00324728031857, -20.436094767297025, 9.040830995639896, -3.5440093875682073, 4.086336645720053, 7.850802703553788, 4.221020328175195, -7.057026155153024, 3.7826684654960108, -17.997884671967217, 14.667584484080917, -1.871067961950387, 5.276915939060537, -14.840011332931065, -1.4705497242906578, 0.4662847634847527, -6.308974167206045, 
-4.420594813181451, 1.2421958954962196, 2.0531022069733806, -3.2615257644410667, -7.2434970026341245, 25.629970970656778, -20.517118060445412, 9.241131148198376, -4.027368987923429, 3.524844458154744, 7.8715478677408965, 4.12665535168721, -6.73890636045501, 3.2423533323295093, -18.229173402895185, 14.878548868264721, -1.8117724092476664, 5.3599363449601745, -14.913184071258033, -1.5585416392386149, 0.003622252100806655, -6.333885396671655, 
-4.311697859926123, 1.3684658761103101, 2.0338357450331834, -2.720756747413268, -7.007108438385525, 26.235472403556034, -20.41379668835014, 9.233396609489425, -4.269403071306714, 3.0473083413652646, 7.818484301574392, 3.932258229925462, -6.648903352956174, 2.650636801814011, -18.266690781326382, 14.623827987592412, -2.2581122484445375, 5.003354212208877, -14.915673715468323, -1.5559553420022398, -0.1987298190556384, -6.176020939115912, 
-3.9876090517352925, 1.3905392533244374, 1.9843272132846557, -2.26019816494094, -6.899680664539639, 26.774858331525422, -20.45353353853179, 9.320226668002766, -4.7802078166463495, 2.5106150647067387, 7.931267983371149, 3.7843696195823853, -6.3606488144939615, 2.0814622648805416, -18.242809672534424, 14.636831932754745, -2.6330668211891988, 4.8270155272851705, -14.886867186551745, -1.4825997026333324, -0.5140851815304451, -6.08693358684493, 
-3.8226577934161092, 1.691869238930275, 1.8617311886241006, -1.6547080113532113, -6.711510154016919, 27.214056553716127, -20.359144408564266, 9.280122097931999, -5.057020452803109, 2.1031430170750944, 7.951472206203532, 3.6362556354765805, -6.305350900439075, 1.577312604201521, -18.053235543466755, 14.421812414787738, -3.2868079803115813, 4.337484903156546, -14.950904658607627, -1.3001237815791618, -0.5964514394607133, -5.859092331897859, 
-3.443784700661021, 1.8357984081066323, 1.6607186636999947, -1.165396158926655, -6.587350349266673, 27.504598066862584, -20.435454792082037, 9.378986096674621, -5.63178476844566, 1.7198762145663369, 8.17983375623771, 3.526095538584391, -5.9765194539708455, 1.1407097147546439, -17.713581967052843, 14.329181027910723, -3.8297542052945106, 3.9979856823088102, -14.820916874714676, -1.049481644498111, -0.7834101294629335, -5.750964734200299, 
