# x_path held_b1_THz held_b2_THz held_b3_THz held_b4_THz held_b5_THz held_b6_THz
0.6965304652 5.3315334027 5.5684712004 6.7923499018 9.9811397328 10.1237259086 17.4045214713
0.7205487571 5.5038549590 5.7543843200 6.9956640288 10.2585470062 10.4035824333 17.3088802777
0.7445670490 5.6749903720 5.9394852022 7.1975451535 10.5298472911 10.6775079777 17.2110175112
0.7685853409 5.8448982193 6.1237478607 7.3979073654 10.7949153662 10.9453017182 17.1110336522
0.7926036329 6.0135369991 6.3071464245 7.5966665336 11.0536281145 11.2067754510 17.0090321691
0.8166219248 6.1808651429 6.4896550887 7.7937399864 11.3058652463 11.4617526948 16.9051194758
0.8406402167 6.3468410311 6.6712480730 7.9890461956 11.5515100016 11.7100679279 16.7994048845
0.8646585086 6.5114230083 6.8518995831 8.1825044629 11.7904498045 11.9515659689 16.6920005541
0.8886768005 6.6745694011 7.0315837766 8.3740346076 12.0225768559 12.1861015006 16.5830214335
0.9126950924 6.8362385365 7.2102747302 8.5635566493 12.2477886593 12.4135387304 16.4725851993
0.9367133843 6.9963887623 7.3879464070 8.7509904844 12.4659884817 12.6337511795 16.3608121880
0.9607316762 7.1549784679 7.5645726248 8.9362555506 12.6770857506 12.8466215954 16.2478253210
0.9847499681 7.3119661072 7.7401270224 9.1192704746 12.8809963871 13.0520419842 16.1337500225
1.0087682600 7.4673102229 7.9145830238 9.2999526985 13.0776430733 13.2499137653 16.0187141302
1.0327865519 7.6209694713 8.0879137994 9.4782180784 13.2669554470 13.4401480555 15.9028477970
1.0568048438 7.7729026493 8.2600922233 9.6539804500 13.4488702101 13.6226661003 15.7862833836
1.0808231357 7.9230687225 8.4310908253 9.8271511538 13.6233311301 13.7973998753 15.6691553414
1.1048414276 8.0714268538 8.6008817367 9.9976385128 13.7902889034 13.9642928959 15.5516000847
1.1288597195 8.2179364350 8.7694366276 10.1653472549 13.9497008339 14.1233012879 15.4337558512
1.1528780114 8.3625571178 8.9367266360 10.3301778715 14.1015302671 14.2743951879 15.3157625508
1.1768963033 8.5052488472 9.1027222844 10.4920259024 14.2457456917 14.4175605699 15.1977616010
1.2009145952 8.6459718963 9.2673933834 10.6507811386 14.3823194048 14.5528016137 15.0798957485
